Average Domestic Airline Itinerary Fares By Origin City for Q4 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,268.09,324.95," 12,84,083 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,225.96,273.89," 10,89,038 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,222.43,269.61," 10,23,630 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,260.18,315.37," 10,12,618 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,243.41,295.04," 9,86,868 ",,,,,,,,,,,
6,EWR,Newark Liberty International,Newark,NJ,232.26,281.52," 9,40,299 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,269.53,326.70," 8,94,683 ",,,,,,,,,,,
8,SEA,Seattle/Tacoma International,Seattle,WA,285.09,345.56," 8,80,202 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,191.31,231.88," 8,45,562 ",,,,,,,,,,,
10,SFO,San Francisco International,San Francisco,CA,305.60,370.42," 8,44,286 ",,,,,,,,,,,
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,260.63,315.91," 8,25,399 ",,,,,,,,,,,
12,LGA,LaGuardia,New York-La Guardia,NY,223.85,271.32," 7,95,129 ",,,,,,,,,,,
13,JFK,John F. Kennedy International,New York-JFK,NY,271.59,329.20," 7,50,626 ",,,,,,,,,,,
14,LAS,Harry Reid International,Las Vegas,NV,194.34,235.56," 6,75,568 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,265.08,321.30," 6,57,943 ",,,,,,,,,,,
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,267.59,324.35," 6,27,878 ",,,,,,,,,,,
17,PHL,Philadelphia International,Philadelphia,PA,232.13,281.36," 6,18,958 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,280.69,340.22," 5,96,023 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,182.59,221.31," 5,85,196 ",,,,,,,,,,,
20,DTW,Detroit Metro Wayne County,Detroit,MI,281.75,341.51," 5,72,843 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,271.03,328.52," 5,47,638 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,232.18,281.43," 5,34,514 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,241.12,292.27," 4,89,183 ",,,,,,,,,,,
24,MIA,Miami International,Miami,FL,225.52,273.36," 4,78,084 ",,,,,,,,,,,
25,AUS,Austin - Bergstrom International,Austin,TX,267.34,324.05," 4,72,888 ",,,,,,,,,,,
26,CLT,Charlotte Douglas International,Charlotte,NC,283.30,343.39," 4,46,301 ",,,,,,,,,,,
27,PDX,Portland International,Portland,OR,286.32,347.05," 4,41,785 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,243.22,294.81," 4,41,195 ",,,,,,,,,,,
29,SLC,Salt Lake City International,Salt Lake City,UT,314.20,380.85," 4,34,499 ",,,,,,,,,,,
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,263.98,319.97," 4,03,082 ",,,,,,,,,,,
31,SMF,Sacramento International,Sacramento,CA,278.68,337.79," 3,67,629 ",,,,,,,,,,,
32,HNL,Daniel K Inouye International,Honolulu,HI,320.29,388.23," 3,55,128 ",,,,,,,,,,,
33,MDW,Chicago Midway International,Chicago-Midway,IL,207.49,251.50," 3,49,329 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,262.66,318.38," 3,17,689 ",,,,,,,,,,,
35,IAD,Washington Dulles International,Washington-Dulles,DC,305.47,370.26," 3,16,263 ",,,,,,,,,,,
36,SJC,Norman Y. Mineta San Jose International,San Jose,CA,250.99,304.23," 3,05,263 ",,,,,,,,,,,
37,MCI,Kansas City International,Kansas City,MO,278.59,337.68," 2,97,424 ",,,,,,,,,,,
38,DAL,Dallas Love Field,Dallas-Love Field,TX,229.94,278.72," 2,89,935 ",,,,,,,,,,,
39,IND,Indianapolis International,Indianapolis,IN,263.43,319.30," 2,89,135 ",,,,,,,,,,,
40,CLE,Cleveland-Hopkins International,Cleveland,OH,219.99,266.66," 2,75,340 ",,,,,,,,,,,
41,PIT,Pittsburgh International,Pittsburgh,PA,255.75,309.99," 2,73,272 ",,,,,,,,,,,
42,OAK,Metro Oakland International,Oakland,CA,232.42,281.72," 2,68,902 ",,,,,,,,,,,
