Average Domestic Airline Itinerary Fares By Origin City for Q3 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
214,MBS,MBS International,Saginaw/Bay City/Midland,MI,369.92,449.41," 6,283 ",,,,,,,,,,,
215,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,137.50,167.04," 6,189 ",,,,,,,,,,,
216,MLU,Monroe Regional,Monroe,LA,339.62,412.60," 6,137 ",,,,,,,,,,,
217,GRK,Robert Gray AAF,Killeen,TX,295.76,359.31," 5,882 ",,,,,,,,,,,
218,LBE,Arnold Palmer Regional,Latrobe,PA,87.02,105.72," 5,672 ",,,,,,,,,,,
219,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,290.74,353.22," 5,637 ",,,,,,,,,,,
220,HLN,Helena Regional,Helena,MT,338.77,411.56," 5,609 ",,,,,,,,,,,
221,ABI,Abilene Regional,Abilene,TX,355.10,431.41," 5,572 ",,,,,,,,,,,
222,ELM,Elmira/Corning Regional,Elmira/Corning,NY,336.74,409.10," 5,534 ",,,,,,,,,,,
223,CPR,Casper/Natrona County International,Casper,WY,380.29,462.02," 5,500 ",,,,,,,,,,,
224,BET,Bethel Airport,Bethel,AK,354.35,430.50," 5,442 ",,,,,,,,,,,
225,ACK,Nantucket Memorial,Nantucket,MA,280.17,340.38," 5,436 ",,,,,,,,,,,
226,LCH,Lake Charles Regional,Lake Charles,LA,344.43,418.45," 5,431 ",,,,,,,,,,,
227,GFK,Grand Forks International,Grand Forks,ND,391.02,475.05," 5,419 ",,,,,,,,,,,
228,KTN,Ketchikan International,Ketchikan,AK,397.28,482.65," 5,377 ",,,,,,,,,,,
229,CWA,Central Wisconsin,Mosinee,WI,306.89,372.84," 5,375 ",,,,,,,,,,,
229,COU,Columbia Regional,Columbia,MO,292.03,354.79," 5,375 ",,,,,,,,,,,
231,RDD,Redding Regional,Redding,CA,402.24,488.68," 5,149 ",,,,,,,,,,,
232,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,344.48,418.50," 5,024 ",,,,,,,,,,,
233,AEX,Alexandria International,Alexandria,LA,349.75,424.90," 5,014 ",,,,,,,,,,,
234,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,306.04,371.81," 4,980 ",,,,,,,,,,,
235,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,376.11,456.93," 4,941 ",,,,,,,,,,,
236,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,421.60,512.19," 4,889 ",,,,,,,,,,,
237,CMI,University of Illinois/Willard,Champaign/Urbana,IL,358.76,435.85," 4,867 ",,,,,,,,,,,
238,RST,Rochester International,Rochester,MN,257.25,312.53," 4,832 ",,,,,,,,,,,
239,GUM,Guam International,Guam,TT,1360.04,1652.30," 4,466 ",,,,,,,,,,,
240,TOL,Eugene F Kranz Toledo Express,Toledo,OH,200.99,244.19," 4,355 ",,,,,,,,,,,
241,IAG,Niagara Falls International,Niagara Falls,NY,89.05,108.18," 4,190 ",,,,,,,,,,,
242,YUM,Yuma MCAS/Yuma International,Yuma,AZ,367.92,446.99," 4,071 ",,,,,,,,,,,
243,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,312.03,379.08," 3,955 ",,,,,,,,,,,
244,SCK,Stockton Metro,Stockton,CA,119.11,144.70," 3,948 ",,,,,,,,,,,
245,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,266.45,323.71," 3,911 ",,,,,,,,,,,
246,GRI,Central Nebraska Regional,Grand Island,NE,201.61,244.93," 3,849 ",,,,,,,,,,,
247,PSM,Portsmouth International at Pease,Portsmouth,NH,98.92,120.18," 3,847 ",,,,,,,,,,,
248,SIT,Sitka Rocky Gutierrez,Sitka,AK,381.07,462.96," 3,745 ",,,,,,,,,,,
249,CLL,Easterwood Field,College Station/Bryan,TX,283.78,344.76," 3,669 ",,,,,,,,,,,
250,PUW,Pullman Moscow Regional,Pullman,WA,326.21,396.31," 3,643 ",,,,,,,,,,,
251,HHH,Hilton Head Airport,Hilton Head,SC,294.99,358.39," 3,578 ",,,,,,,,,,,
