Average Domestic Airline Itinerary Fares By Origin City for Q1 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,328.16,401.02," 12,84,083 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,332.04,405.76," 10,89,038 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,295.96,361.66," 10,23,630 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,359.58,439.40," 10,12,618 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,324.85,396.97," 9,86,868 ",,,,,,,,,,,
6,EWR,Newark Liberty International,Newark,NJ,369.92,452.04," 9,40,299 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,400.52,489.43," 8,94,683 ",,,,,,,,,,,
8,SEA,Seattle/Tacoma International,Seattle,WA,307.52,375.79," 8,80,202 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,239.79,293.02," 8,45,562 ",,,,,,,,,,,
10,SFO,San Francisco International,San Francisco,CA,371.76,454.30," 8,44,286 ",,,,,,,,,,,
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,321.07,392.34," 8,25,399 ",,,,,,,,,,,
12,LGA,LaGuardia,New York-La Guardia,NY,323.66,395.52," 7,95,129 ",,,,,,,,,,,
13,JFK,John F. Kennedy International,New York-JFK,NY,388.19,474.37," 7,50,626 ",,,,,,,,,,,
14,LAS,Harry Reid International,Las Vegas,NV,233.78,285.68," 6,75,568 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,368.08,449.80," 6,57,943 ",,,,,,,,,,,
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,394.33,481.87," 6,27,878 ",,,,,,,,,,,
17,PHL,Philadelphia International,Philadelphia,PA,364.29,445.17," 6,18,958 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,303.99,371.47," 5,96,023 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,242.55,296.39," 5,85,196 ",,,,,,,,,,,
20,DTW,Detroit Metro Wayne County,Detroit,MI,362.01,442.37," 5,72,843 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,359.93,439.83," 5,47,638 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,289.28,353.50," 5,34,514 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,308.59,377.09," 4,89,183 ",,,,,,,,,,,
24,MIA,Miami International,Miami,FL,314.31,384.09," 4,78,084 ",,,,,,,,,,,
25,AUS,Austin - Bergstrom International,Austin,TX,317.02,387.40," 4,72,888 ",,,,,,,,,,,
26,CLT,Charlotte Douglas International,Charlotte,NC,393.32,480.63," 4,46,301 ",,,,,,,,,,,
27,PDX,Portland International,Portland,OR,308.35,376.80," 4,41,785 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,326.36,398.81," 4,41,195 ",,,,,,,,,,,
29,SLC,Salt Lake City International,Salt Lake City,UT,364.52,445.44," 4,34,499 ",,,,,,,,,,,
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,322.21,393.75," 4,03,082 ",,,,,,,,,,,
31,SMF,Sacramento International,Sacramento,CA,308.99,377.59," 3,67,629 ",,,,,,,,,,,
32,HNL,Daniel K Inouye International,Honolulu,HI,300.93,367.74," 3,55,128 ",,,,,,,,,,,
33,MDW,Chicago Midway International,Chicago-Midway,IL,281.92,344.50," 3,49,329 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,363.53,444.24," 3,17,689 ",,,,,,,,,,,
35,IAD,Washington Dulles International,Washington-Dulles,DC,450.35,550.32," 3,16,263 ",,,,,,,,,,,
36,SJC,Norman Y. Mineta San Jose International,San Jose,CA,272.40,332.87," 3,05,263 ",,,,,,,,,,,
37,MCI,Kansas City International,Kansas City,MO,366.88,448.33," 2,97,424 ",,,,,,,,,,,
38,DAL,Dallas Love Field,Dallas-Love Field,TX,310.14,379.00," 2,89,935 ",,,,,,,,,,,
39,IND,Indianapolis International,Indianapolis,IN,333.40,407.41," 2,89,135 ",,,,,,,,,,,
40,CLE,Cleveland-Hopkins International,Cleveland,OH,301.09,367.93," 2,75,340 ",,,,,,,,,,,
41,PIT,Pittsburgh International,Pittsburgh,PA,342.27,418.25," 2,73,272 ",,,,,,,,,,,
42,OAK,Metro Oakland International,Oakland,CA,280.62,342.91," 2,68,902 ",,,,,,,,,,,
43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,287.37,351.17," 2,68,725 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,242.42,296.24," 2,62,979 ",,,,,,,,,,,
