Average Domestic Airline Itinerary Fares By Origin City for Q4 2019 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,372.10,456.62," 12,84,083 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,345.60,424.09," 10,89,038 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,309.89,380.28," 10,23,630 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,367.97,451.54," 10,12,618 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,344.63,422.90," 9,86,868 ",,,,,,,,,,,
6,EWR,Newark Liberty International,Newark,NJ,411.96,505.53," 9,40,299 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,401.39,492.56," 8,94,683 ",,,,,,,,,,,
8,SEA,Seattle/Tacoma International,Seattle,WA,350.05,429.56," 8,80,202 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,252.15,309.42," 8,45,562 ",,,,,,,,,,,
10,SFO,San Francisco International,San Francisco,CA,420.22,515.67," 8,44,286 ",,,,,,,,,,,
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,346.10,424.70," 8,25,399 ",,,,,,,,,,,
12,LGA,LaGuardia,New York-La Guardia,NY,354.24,434.69," 7,95,129 ",,,,,,,,,,,
13,JFK,John F. Kennedy International,New York-JFK,NY,428.12,525.36," 7,50,626 ",,,,,,,,,,,
14,LAS,Harry Reid International,Las Vegas,NV,241.32,296.13," 6,75,568 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,362.92,445.34," 6,57,943 ",,,,,,,,,,,
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,406.50,498.83," 6,27,878 ",,,,,,,,,,,
17,PHL,Philadelphia International,Philadelphia,PA,370.51,454.67," 6,18,958 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,337.79,414.51," 5,96,023 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,250.21,307.03," 5,85,196 ",,,,,,,,,,,
20,DTW,Detroit Metro Wayne County,Detroit,MI,381.97,468.73," 5,72,843 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,377.07,462.71," 5,47,638 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,306.84,376.53," 5,34,514 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,324.13,397.74," 4,89,183 ",,,,,,,,,,,
24,MIA,Miami International,Miami,FL,324.40,398.08," 4,78,084 ",,,,,,,,,,,
